Gene,Ara_plusAnc,Ara_plus1Ev,Ara_minusAnc,Ara_minus1Ev,Ara_minusspoTAnc,Ara_minusAnc
b0484,-4.393101809,-4.419282844,-4.338002808,-4.510327239,-4.069870055,-4.11490034
gatC,-4.062048176,-4.028051064,-4.04277191,-3.950527908,-4.007060145,-4.081015541
uxaC,-3.506834642,-3.476560965,-3.486676065,-3.391275374,-3.475941472,-3.53124627
ykgA,-4.271025442,-4.286465026,-4.32891174,-4.12358622,-4.177986756,-4.250973751
yhjB,-3.877068381,-3.884842832,-3.876444182,-3.804687626,-3.83178218,-3.896007337
alpA,-4.339559243,-4.298591873,-4.362008383,-4.245019988,-4.373163675,-4.456953713
fliC,-4.504530834,-4.521680888,-4.47724031,-4.375567285,-4.520937652,-4.546483705
fimB,-4.982769315,-5.001910595,-4.985133027,-5.33031782,-4.338276838,-4.552886146
fepD,-3.945637671,-4.098801084,-3.704265017,-3.635636223,-3.710125802,-3.780331321
mglB,-3.55166746,-3.515669403,-3.570698399,-3.650128753,-3.959294568,-4.023791384
malT,-3.627509839,-3.837223908,-3.50228854,-3.761002766,-3.754465463,-3.801562426
b0504,-3.851614832,-3.983181106,-3.786873199,-3.679571074,-3.622322284,-3.630997277
yidU,-4.531235451,-4.58931854,-4.411935831,-4.585899955,-3.985644023,-4.045260954
yi52_,-3.22634932,-3.200216116,-3.119217714,-3.054562778,-3.330194713,-3.355603969
fliL,-4.508894286,-4.442581084,-4.520959979,-4.366960565,-4.403587154,-4.443021364
fimH,-4.601288816,-4.586957037,-4.494648508,-4.487069959,-4.012527271,-4.112072516
kdpC,-3.777622472,-3.635821116,-3.692980735,-3.620743764,-3.727413256,-3.810949357
hisM,-4.071006818,-4.089309702,-4.104806319,-4.133139346,-4.071423158,-4.134547763
mhpE,-3.60059978,-3.588859748,-3.590667537,-3.537785821,-3.663279201,-3.674649816
rhaA,-3.730590075,-3.708596195,-3.434595562,-3.263863051,-3.359071156,-3.336484178
b1119,-3.436110824,-3.426900118,-3.449823656,-3.347027395,-3.44567834,-3.423959164
yjhJ,-3.678871578,-3.638217224,-3.714492467,-3.592367137,-3.648868223,-3.664165467
murG,-4.176439898,-4.336909433,-4.229907179,-4.165820488,-4.205670879,-4.254140378
ompC,-2.564989621,-2.825214375,-2.705293649,-3.08432949,-3.145823453,-3.058400356
yaeH,-4.294669982,-4.347136566,-4.167231375,-4.242819473,-4.42656842,-4.484628105
potF,-3.86095724,-3.874778178,-3.837011214,-3.930934674,-3.919366395,-3.964934401
galT,-4.171321641,-4.110255943,-4.18378706,-4.001218148,-4.11633607,-4.120778963
rpiB,-3.734910978,-3.758165396,-3.696389726,-3.657680354,-3.802317113,-3.902352488
b1422,-3.352499922,-3.346812895,-3.396381808,-3.277338026,-3.355512641,-3.347521362
yafZ,-3.830075167,-3.808912034,-3.823073317,-3.747311934,-3.830244884,-3.843911933
mrcB,-3.946600735,-3.946853379,-3.948642691,-3.928637729,-3.901877706,-3.908614554
b2351,-4.945427639,-4.982302977,-5.183733676,-5.1595254,-5.261651023,-5.230944849
ychP,-3.818779052,-3.809032558,-3.789593561,-3.691726897,-3.856936685,-3.880932506
artP,-3.967497258,-4.006817371,-4.038274212,-4.031529637,-4.071166415,-4.078313991
manA,-3.916294165,-3.876639339,-3.895574771,-3.838946125,-3.934628766,-3.96533361
uxuA,-3.865951929,-3.889806483,-3.780297205,-3.732394282,-3.835779803,-3.9085718
ydhB,-3.400692456,-3.368237274,-3.384778167,-3.318145739,-3.365990662,-3.361865583
b0281,-3.954453131,-3.959015427,-3.905001928,-3.869829744,-3.922940676,-3.930538507
gmhA,-4.260532666,-4.081572623,-4.172974457,-4.305994742,-4.221354284,-4.307274702
b2817,-3.200621499,-3.128307384,-3.132886916,-2.869306407,-3.112970765,-3.13714121
b2007,-3.431012314,-3.433864982,-3.387623635,-3.385963418,-3.552143535,-3.624732066
ptsG,-3.825452717,-3.975623378,-3.961516607,-4.14148681,-4.146127656,-4.134009963
b2045,-3.910747584,-3.915628527,-3.79646258,-3.846146842,-3.98840768,-3.993656172
kdpE,-4.278419035,-4.378897075,-4.198351147,-4.192854129,-4.031088254,-4.050696583
b2056,-4.5625614,-4.65560675,-4.469455281,-4.404858792,-4.153859516,-4.257718681
nmpC,-2.770112225,-3.014942362,-2.76642832,-3.087159278,-3.14827298,-3.159152321
ptsI,-3.320189164,-3.375299511,-3.502253454,-3.584695867,-3.574037015,-3.661270646
rbsA,-3.31045878,-3.707993004,-3.508644022,-3.658298768,-3.576946404,-3.622286349
b1543,-4.116343339,-4.090233125,-4.131309045,-4.0196955,-3.994735719,-4.029363047
caiF,-4.202128415,-4.154873688,-4.209299576,-4.106994262,-4.045260486,-3.981039626
emrY,-4.056542803,-4.007823,-4.054248997,-4.051694499,-3.895547846,-3.956989742
sucB,-3.551558663,-3.648292827,-3.614636176,-3.563187985,-3.554610256,-3.555748011
nuoH,-3.389011087,-3.328374835,-3.426297184,-3.309132512,-3.365291026,-3.368244432
hydG,-4.393013979,-4.318056618,-4.395114842,-4.362245408,-4.110358398,-4.156580875
hofG,-4.495969349,-4.696972042,-4.557964434,-4.663140531,-3.881382012,-4.184110085
yjhN,-3.754546262,-3.702073879,-3.759246795,-3.644810593,-3.707088732,-3.741096355
b2952,-3.95428465,-3.91792257,-3.898720085,-3.949899641,-3.974073504,-3.903732324
b0533,-4.810681369,-5.035274516,-4.737501961,-5.086972927,-4.124144975,-4.216911615
emrB,-3.47393635,-3.462968839,-3.48149789,-3.386346565,-3.47342068,-3.455620478
dmsA,-3.548254273,-3.494197942,-3.595285922,-3.475332425,-3.568791561,-3.59490398
tktB,-3.471768019,-3.349994613,-3.321250195,-3.275355343,-3.453891947,-3.46100295
nrfF,-3.586690404,-3.70596141,-3.298848261,-3.287564027,-3.392146556,-3.45186981
gntT,-3.653345993,-3.597419472,-3.535255657,-3.530847126,-3.549681199,-3.584100597
yaeM,-4.139108919,-4.248306492,-4.198371066,-4.136151838,-4.052771694,-4.106317687
yhdX,-4.036499488,-4.001404047,-4.028655815,-3.972245118,-3.959972128,-3.980464879
b0867,-3.120669501,-2.976256864,-2.916787003,-2.917145613,-3.268321863,-3.290996949
yraP,-4.109545177,-4.167352222,-4.195115315,-4.07322995,-4.085370148,-4.12219626
hyaD,-3.017952332,-2.806309227,-3.027411919,-2.860658802,-3.108948163,-3.099024305
b2489,-3.185097334,-2.973763899,-3.146956915,-3.067946827,-3.310978642,-3.298631358
frdB,-4.070272274,-4.188938677,-4.028778376,-3.876208904,-3.665572698,-3.703020133
livG,-3.773579326,-3.683890183,-3.625714832,-3.628151666,-3.746818514,-3.805612491
b0491,-4.128114914,-4.150528015,-4.116059295,-4.009566843,-4.036968627,-4.068309255
b3469,-3.664697196,-3.613210852,-3.695734239,-3.557529515,-3.696467765,-3.71935775
mdoH,-3.910536002,-4.028407733,-4.050514809,-4.000172343,-3.929077345,-4.002785556
ftsX,-3.747021665,-3.569436597,-3.715962591,-3.459269036,-3.457712319,-3.451885896
torC,-3.822168638,-3.88042532,-3.715292415,-3.715781555,-3.761407076,-3.845220555
hycF,-3.564779365,-3.454170759,-3.555834463,-3.170009957,-3.310556848,-3.288471098
dnaE,-4.302455888,-4.24774966,-4.352735454,-4.558577835,-4.151578008,-4.176163817
nikD,-2.91179729,-2.973668675,-2.901440468,-2.45529472,-2.59773754,-2.570342303
ybeJ,-3.617303067,-3.525058284,-3.736780465,-3.833812831,-3.978203282,-4.01806798
yicE,-3.730163405,-3.704697563,-3.778552139,-3.674202818,-3.757124647,-3.773024918
flgC,-3.524571867,-4.66894178,-3.824102755,-4.518974056,-3.96750722,-3.84943473
yhiV,-4.084405174,-4.236838474,-4.062842001,-3.739120821,-3.634335008,-3.680704153
narG,-4.565305084,-4.633273671,-4.501628588,-4.544009545,-4.116630716,-4.169870183
hypC,-3.973326773,-3.973516802,-4.015485174,-3.913572869,-3.931100533,-3.943987692
recR,-3.773754455,-3.750184012,-3.857206251,-3.813614265,-3.843688543,-3.826804911
dppB,-3.465490426,-3.449006624,-3.379759046,-3.250465573,-3.356652325,-3.353788914
b0879,-3.580450409,-3.554082551,-3.617308559,-3.49984573,-3.629898951,-3.652359701
yifK,-3.444215562,-3.335987828,-3.444278093,-3.304640491,-3.537387791,-3.594246457
flgK,-3.844058356,-5.194707106,-4.219574389,-4.971397176,-4.119743318,-4.049296418
sodB,-3.972137948,-4.122583593,-4.154000705,-4.129581226,-4.037653559,-4.034427856
yhcA,-4.202493902,-4.095004256,-4.229516082,-4.111291639,-4.30910184,-4.351796767
b1773,-4.263000934,-4.203511549,-4.250082911,-4.309081359,-4.139462192,-4.192931354
glpR,-4.266256352,-4.292953929,-4.264754658,-4.501771192,-4.040440588,-4.093320371
sodA,-3.537492495,-3.384672809,-3.603417642,-3.400755943,-3.619543061,-3.627316123
b1392,-3.911463672,-3.878094945,-3.887497233,-3.788171596,-3.968693872,-3.882925147
b2886,-3.674520949,-3.671216799,-3.660281633,-3.56493299,-3.636244409,-3.600560237
modF,-4.244733931,-4.294187125,-4.348685376,-4.428345646,-4.049343835,-4.05231687
gltS,-3.817552615,-3.851452892,-3.819523228,-3.865510543,-3.657285918,-3.69936955
b1311,-3.529833447,-3.500849566,-3.563148614,-3.428132922,-3.605184096,-3.662704233
b4115,-4.174084184,-4.160779427,-4.174618176,-4.172885299,-3.939668092,-4.00487922
hslJ,-4.698471446,-4.949890952,-4.826755524,-4.551593892,-4.401663518,-4.331066175
mopB,-3.760831009,-3.569282647,-3.674616942,-3.778072206,-3.785519324,-3.930312009
narZ,-4.299886504,-4.36334439,-4.195891759,-4.356274926,-3.999662765,-4.114719022
hybE,-3.625251195,-3.62155244,-3.638673197,-3.561006866,-3.686720425,-3.669285202
umuD,-4.61553211,-4.670935558,-4.453285324,-4.437423831,-4.26090486,-4.294286334
tnaB,-3.270116467,-3.157677218,-3.079801699,-3.056543312,-3.196531769,-3.305010071
b1451,-3.940445935,-3.890140525,-3.961056986,-3.898476607,-3.928723982,-3.97871228
ytfT,-4.321629903,-4.227694126,-4.246066095,-4.255725198,-3.942731887,-4.008840256
marA,-4.656873989,-4.553723059,-4.711049155,-4.9949429,-4.537517663,-4.648202291
b0531,-4.42001817,-4.580228951,-4.255808441,-4.050531624,-4.013885,-4.132291008
fumC,-4.144868134,-4.272517593,-4.069426385,-4.141998777,-4.011963711,-4.113990315
yhaI,-3.825836897,-3.761611036,-3.889056125,-3.794963646,-3.88441897,-3.946536264
lar,-5.290126902,-5.351693232,-5.350043551,-5.688166667,-5.125592324,-5.102483356
lepB,-3.649031944,-3.601226235,-3.580056812,-3.603241249,-3.647714618,-3.62043193
rhaT,-3.765433326,-3.57990829,-3.810977291,-3.676020019,-3.66989557,-3.641148423
yeeF,-3.817013153,-3.782419492,-3.900851912,-3.82020571,-3.876985065,-3.923731045
imp,-3.936583839,-4.119466681,-4.04108054,-4.620546017,-3.926071254,-3.985290796
cheZ,-4.462193032,-4.613003207,-4.523842746,-4.611392754,-4.247246773,-4.25544645
aceE,-3.1329088,-3.16105777,-3.195657712,-3.110975953,-3.21827492,-3.211393966
narP,-3.464880968,-3.422323222,-3.490821718,-3.475087849,-3.486934947,-3.461303283
gpsA,-3.630017061,-3.589919249,-3.541369019,-3.654887509,-3.622071143,-3.611436966
srlB,-4.167653018,-4.047493363,-4.027486931,-4.079434773,-4.163448416,-4.252198475
malG,-3.810611721,-3.729248961,-3.721211305,-3.733725491,-3.791681746,-3.750109561
yohK,-4.371467684,-4.347765666,-4.377401993,-4.291874901,-4.274648231,-4.253561127
ampE,-3.859673073,-4.15667756,-3.889319154,-4.019043803,-3.783033176,-3.667022176
motB,-3.62953614,-3.632825631,-3.709774866,-3.483238932,-3.460006142,-3.424656987
adhC,-3.875446159,-3.792716697,-3.93473497,-3.952112645,-3.88858551,-3.892888736
ccmA,-2.703311922,-2.447506955,-2.657671738,-2.704723834,-3.001373021,-3.016859864
atpB,-3.432570032,-3.55131082,-3.562144978,-3.493520467,-3.414628224,-3.423432417
galP,-3.879464236,-3.842519206,-3.787720956,-3.841650093,-3.787656916,-3.840871091
phnC,-4.119482423,-4.203353063,-3.976819812,-4.153716716,-4.131096924,-4.190039268
yfdC,-3.944068038,-3.896821141,-3.959760388,-3.876145455,-3.793352191,-3.816667087
fhiA,-4.024666242,-4.258844851,-3.901098055,-4.071113803,-3.742621625,-3.645720622
fliK,-4.456497974,-4.417401486,-4.41028454,-4.469602425,-4.437709039,-4.513082039
b0617,-3.820245866,-3.770188523,-3.455071772,-3.685915312,-4.025640249,-4.047610842
glpB,-3.417755425,-3.389320769,-3.447649457,-3.349301053,-3.420890491,-3.411731878
pfkA,-3.94548013,-4.024606521,-3.753806675,-3.965731953,-3.813313765,-3.921469643
tdcC,-3.924714493,-3.902537496,-3.790953368,-3.855341241,-3.816898967,-3.900862998
mgtA,-4.139196606,-4.56001606,-4.196902204,-4.557607096,-3.922861286,-3.998933917
b2775,-4.016757667,-3.972410789,-4.008400639,-3.975263792,-3.818310955,-3.876393277
ampG,-4.154479582,-4.455304726,-4.242781974,-4.519340951,-3.892093648,-3.975517163
b0271,-4.275809178,-4.137083597,-4.179363681,-4.309543106,-4.138022106,-4.152061496
mtlD,-3.425450431,-3.300314772,-3.492154884,-3.550432943,-3.440470885,-3.535235208
ybhD,-3.443518303,-3.402401023,-3.472597714,-3.412889152,-3.451408586,-3.457242659
b3995,-3.981694352,-4.076203791,-4.074148502,-4.005265026,-3.781968603,-3.877591971
acrA,-4.036298038,-4.064597201,-4.065841653,-4.178674787,-3.979603734,-4.022764314
yraK,-4.212231347,-4.115314546,-4.132323208,-3.991219288,-3.826713227,-3.890433099
b2879,-3.263617004,-3.174936824,-3.211294696,-3.145325352,-3.372659691,-3.389045356
chaC,-4.13594189,-4.170670914,-4.139064947,-3.958827037,-4.1199138,-4.133088894
fruA,-3.468947975,-3.397904505,-3.456733185,-3.333677273,-3.464148578,-3.472169668
rstB,-3.519360729,-3.54502206,-3.533370629,-3.459911037,-3.497733987,-3.570909075
b2299,-3.313622337,-3.259187927,-3.244312134,-3.218219286,-3.367994984,-3.370661906
tolB,-3.308907091,-3.297172997,-3.351801758,-3.275058649,-3.33624461,-3.311414325
mrdB,-4.331174786,-4.288980368,-4.318561576,-4.423448015,-4.121017982,-4.2262402
mreB,-3.508225214,-3.528352124,-3.506570748,-3.379763489,-3.482830053,-3.513192958
yigN,-3.411328109,-3.354088847,-3.327632629,-3.279845214,-3.411701272,-3.450649994
tonB,-3.829963836,-3.864281717,-3.830710171,-3.898219355,-3.996511854,-4.003219326
eutJ,-3.739903291,-3.730447816,-3.681471056,-3.637022667,-3.693953036,-3.736970444
csrA,-3.969918329,-3.775732644,-3.994386701,-3.882355295,-4.034054301,-4.071042348
b2556,-4.40656553,-4.437918881,-4.38091403,-4.392906842,-4.022639822,-4.082021129
pspF,-3.668914811,-3.640588401,-3.67879778,-3.5855149,-3.659824091,-3.66457501
b0874,-4.441178577,-4.611276939,-4.390269508,-4.353450725,-4.0662043,-4.114162791
slp,-4.265053876,-4.33596298,-4.277977102,-4.26163419,-3.978406649,-4.019174172
yaaJ,-3.581257329,-3.559896716,-3.497710551,-3.470281229,-3.48259118,-3.548897073
trkG,-3.592097029,-3.551729549,-3.558464717,-3.441379979,-3.663894361,-3.665821268
ascG,-3.629386484,-3.57466507,-3.644529841,-3.534604662,-3.632805545,-3.656721052
envZ,-3.399086607,-3.417155294,-3.190696471,-3.260591617,-3.398571804,-3.588580406
b2768,-3.361148405,-3.310721371,-3.324818554,-3.278120148,-3.425350014,-3.435323707
racC,-4.163958881,-4.152948583,-4.18019395,-4.100234312,-4.275012398,-4.23324857
ompA,-3.812235081,-3.881839302,-3.875893495,-3.949316431,-4.056088916,-4.046761296
rfaC,-4.099542748,-4.284732265,-4.245687611,-4.307327694,-4.041800314,-4.116491191
fhuC,-3.961162857,-3.890944279,-3.851641515,-3.869945766,-3.942372957,-3.979564746
b1634,-3.560225751,-3.507063631,-3.463615358,-3.540413891,-3.703982966,-3.738059508
fucK,-3.624103539,-3.508185635,-3.623270831,-3.506070222,-3.609427022,-3.631706902
oxyR,-3.587437806,-3.543804454,-3.587221049,-3.535103712,-3.626429006,-3.675618795
b3060,-3.395103201,-3.428798615,-3.40886843,-3.339703611,-3.47589528,-3.466383616
b1579,-3.892507759,-3.969454226,-3.946381817,-3.857482948,-3.831926603,-3.862618118
dsbB,-4.157841455,-4.224253132,-4.137826609,-4.04515528,-4.057381527,-4.09214196
rfaS,-6.101126435,-7.128867158,-6.333400508,-5.804100207,-5.905144015,-5.962948327
brnQ,-3.878062833,-3.895066688,-3.836008702,-3.807245668,-3.876500429,-3.93527565
manY,-4.027867615,-3.965141214,-4.065566233,-4.051967233,-4.121175845,-4.11602226
glcD,-3.528071406,-3.482504009,-3.531900443,-3.410980436,-3.526199174,-3.521587528
yaeG,-3.838365205,-3.747992599,-3.80917955,-3.735529548,-3.820216919,-3.853647665
yhgB,-4.50707315,-4.624689948,-4.428307389,-4.33882675,-4.018909771,-4.043805446
cvpA,-4.346113127,-4.492188215,-4.50297116,-4.564406659,-4.340625374,-4.32555991
b4285,-3.638149852,-3.539338061,-3.601794862,-3.830189696,-3.72297927,-3.799050067
rfc,-4.821331461,-4.855019195,-4.863629265,-4.791244747,-4.910124048,-5.014391878
nlpC,-3.474464242,-3.383123373,-3.351129306,-3.423986609,-3.461474907,-3.485922187
glnQ,-4.160508903,-4.192314826,-4.288847912,-4.459025311,-4.238351702,-4.311698623
hipA,-4.571437134,-4.670853705,-4.545835702,-4.43589715,-4.190672781,-4.22795947
rffT,-3.561287407,-3.618059514,-3.581203938,-3.443412928,-3.286340234,-3.254594316
ybbA,-3.191996077,-3.145424869,-3.129405253,-3.037960951,-3.20866645,-3.196751855
gatB,-4.815284859,-4.743003111,-4.658044058,-4.653770284,-4.716450201,-4.817872336
exuR,-3.797446295,-3.705069245,-3.793395497,-3.690557424,-3.763089262,-3.758770259
ykgD,-3.273913396,-3.068044853,-3.339574319,-3.134539795,-3.372860591,-3.389504795
yhjC,-4.189565427,-4.315342031,-4.144376073,-4.119073936,-4.148772119,-4.129937378
b2633,-3.534405798,-3.497862446,-3.552269746,-3.449069796,-3.596604029,-3.585961057
fliD,-4.64651,-4.980222547,-4.628395891,-4.570027742,-4.622282546,-4.646634578
fimE,-4.334244296,-4.505324526,-4.558509397,-4.759270378,-3.914584398,-4.197026163
fepB,-3.772858387,-3.722777265,-3.62313823,-3.636502537,-3.761459427,-3.755593871
cirA,-3.686330036,-3.541423101,-3.575559203,-3.557411173,-3.737913779,-3.710190083
treF,-4.685130646,-4.837362415,-4.536299369,-4.552634596,-3.991150409,-4.022992114
b0506,-3.749606179,-3.830559866,-3.760685695,-3.72557308,-3.849547338,-3.846206207
b3694,-3.533451387,-3.503951177,-3.535041983,-3.468420159,-3.582678402,-3.573687374
insA_,-3.293451024,-3.299082466,-3.329372704,-3.127641238,-3.200643756,-3.197756748
fliM,-4.355344384,-4.354484009,-4.21034181,-4.256105838,-4.566205956,-4.53372809
slt,-4.069447032,-4.156997787,-3.976239379,-4.03407317,-3.871056558,-3.904733775
kdpB,-3.793647488,-3.858647577,-3.97486335,-3.906750233,-3.840231499,-3.808786123
hisJ,-3.92005054,-3.728304656,-3.927018328,-3.780629253,-4.007435118,-4.003117816
b0352,-3.779310649,-3.70613171,-3.79210743,-3.710964593,-3.690421319,-3.711197202
rhaB,-3.701959476,-3.568643863,-3.663857265,-3.675943552,-3.629997871,-3.718945068
b1162,-3.31470633,-3.254937626,-3.294737791,-3.262238412,-3.336023135,-3.349590418
yjiE,-3.610980493,-3.476005568,-3.434758752,-3.678068777,-3.687069217,-3.715864436
murC,-3.852495677,-3.778544021,-3.674741094,-3.963745232,-3.991844905,-4.002944562
rcsB,-4.524320387,-4.74242414,-4.479649986,-4.422672264,-4.183716325,-4.067303403
eaeH,-4.127618561,-4.096917232,-4.066973626,-3.962798158,-3.998164717,-4.013283739
potG,-4.183227416,-4.155248761,-4.175026804,-4.12203648,-4.097342839,-4.079455334
galE,-3.846954875,-3.8511961,-3.956792953,-3.747972678,-3.906403357,-3.878525115
melR,-3.779117767,-3.636420817,-3.761002768,-3.626279633,-3.51268935,-3.585755303
b1439,-4.530588916,-4.524266218,-4.496910909,-4.653027115,-4.141892906,-4.218201683
tra8_,-3.489943882,-3.49467266,-3.459210129,-3.492853403,-3.471929231,-3.614082472
fhuA,-3.735888496,-3.739017084,-3.764503373,-3.804917184,-3.730439186,-3.755181168
amiA,-4.27331681,-4.198589779,-4.252168043,-4.188992284,-4.067659614,-4.201565486
yciF,-4.10226831,-4.098389978,-4.128414915,-4.102907733,-4.117769679,-4.270320572
aqpZ,-4.410871711,-4.498299904,-4.398709811,-4.507628548,-4.209014778,-4.245768746
uidA,-4.529631306,-4.418310314,-4.375220165,-4.477548727,-4.133668367,-4.206157407
uxuB,-4.019370763,-4.042658219,-3.904270064,-3.854789114,-3.843392863,-3.914701128
b1770,-4.446967353,-4.413496228,-4.4239678,-4.432541413,-4.30197342,-4.402349172
b0299,-3.412957388,-3.42293166,-3.379469612,-3.420712287,-3.33427844,-3.35180109
crl,-3.773495812,-3.664869195,-3.726986487,-3.832769025,-3.895959139,-3.909669405
b2865,-3.587891347,-3.627537066,-3.425164825,-3.497412265,-3.605261215,-3.652286199
b2175,-3.703384376,-3.670617823,-3.607537594,-3.683668538,-3.778774356,-3.858162481
fhuE,-3.730085989,-3.657086627,-3.713091933,-3.595782457,-3.808388477,-3.788511135
gatR_,-3.796195293,-3.776771449,-3.809371525,-3.730042841,-3.806084605,-3.835297919
kdpD,-3.736529882,-3.59010645,-3.721402676,-3.711427913,-3.656180423,-3.71400647
b2061,-3.393754488,-3.352763978,-3.370061184,-3.30683427,-3.412563893,-3.407939506
nohB,-4.273550497,-4.230578306,-4.312459112,-4.131320432,-4.189561788,-4.228845905
emrK,-4.030687897,-3.962366195,-3.986077471,-3.946401083,-3.918260057,-3.962400328
sucC,-2.937815296,-2.956871841,-2.801243697,-2.721536091,-3.062081523,-3.077396232
nuoG,-3.967386979,-4.046090619,-4.044342235,-4.033389016,-3.990243043,-3.990565656
pgi,-4.054824325,-4.1349663,-4.152320601,-4.169942515,-3.900566887,-3.843617795
hofH,-3.049253028,-2.995675604,-2.966649842,-2.917318849,-2.995839352,-3.025585085
gntP,-4.732022686,-4.597692914,-4.638652236,-4.885307961,-4.043783389,-4.128592276
b2966,-4.021694736,-3.993647054,-4.037485406,-3.916907589,-3.899909544,-3.857544663
ybcG,-4.125399126,-4.761123643,-4.342679272,-4.220096341,-4.190688015,-4.263614078
b2830,-4.293755609,-4.37096089,-4.228851899,-4.385779553,-4.326350401,-4.374939958
dmsB,-3.300769572,-3.287115925,-3.126013375,-3.241937169,-3.596535255,-3.597089682
narQ,-3.859874581,-3.924887618,-3.583296021,-3.476635241,-3.619408439,-3.717932773
nrfG,-3.198636914,-3.191819503,-3.272828195,-2.971952857,-3.266241203,-3.109386944
gntU_,-3.5353463,-3.337601866,-3.31934306,-3.309146842,-3.511250854,-3.557205813
b0263,-4.207318967,-4.260049093,-4.235503905,-4.192718371,-4.257773641,-4.280186726
yhdY,-3.744333454,-3.731750689,-3.757824816,-3.646389238,-3.724007113,-3.774955664
cspD,-4.081642509,-4.109801515,-4.120921484,-4.070958077,-4.174898857,-4.152916975
hflB,-3.851497916,-3.986569961,-3.891107806,-4.064617896,-3.922834877,-3.922771336
hyaE,-3.665394362,-3.664389629,-3.694303336,-3.597952726,-3.76767443,-3.745491289
fdx,-3.761005994,-3.81921571,-3.72870917,-3.72446385,-3.894678824,-3.843093225
frdA,-3.534295268,-3.639953556,-3.331083804,-3.485918413,-3.42841112,-3.58328606
livM,-2.939145473,-2.918025922,-2.826558794,-2.811005191,-2.932376034,-2.984825918
b0511,-3.88973087,-3.899385172,-3.89012968,-3.824550172,-3.758999799,-3.88560479
yhhS,-4.078970651,-4.094451837,-4.102080579,-3.986309048,-3.953361318,-3.96906286
htrB,-4.334070858,-4.352920191,-4.412199805,-4.519416829,-4.197882406,-4.248012449
ftsE,-3.904910639,-4.000999059,-3.700706284,-3.826339896,-3.791418956,-3.796903356
torA,-3.569121094,-3.531737362,-3.585252261,-3.45734379,-3.633409413,-3.635163404
hycE,-3.654823407,-3.394826493,-3.622935004,-3.311768492,-3.394484608,-3.356683438
rnhA,-4.189729253,-4.173113122,-4.219184103,-4.193974655,-4.128205325,-4.142669266
nikE,-3.037484516,-2.963458491,-2.915319406,-2.856558964,-2.990990197,-2.991185908
b0660,-3.036790919,-3.183296471,-3.075902424,-2.972719399,-3.2095676,-3.234705589
yicJ,-4.152069005,-4.100031037,-4.148860804,-4.061298095,-4.010587434,-4.039999514
flgD,-3.208235025,-4.363348037,-3.493170008,-4.183839178,-3.650475193,-3.468231209
yhjX,-3.806215931,-3.793859861,-3.799079728,-3.691417044,-3.762882988,-3.759248258
narH,-3.551039552,-3.591273179,-3.580271898,-3.551033587,-3.660982249,-3.654083502
hypD,-3.396349089,-3.432164268,-3.398083731,-3.344054051,-3.468926391,-3.463110746
rna,-4.08740934,-4.037140818,-4.106571177,-4.159865056,-4.109810491,-4.104077317
dppA,-4.504229578,-4.471399929,-4.306768993,-4.261349327,-4.421811002,-4.416375265
ycaD,-5.308915821,-4.886224095,-5.133787126,-5.141462384,-5.134234201,-5.035612665
yihN,-4.042202825,-3.99599808,-4.06349927,-3.926641628,-3.843114281,-3.774945917
flgL,-3.916798888,-4.65005298,-4.226774978,-4.973292316,-4.242948898,-4.14437899
katE,-3.710026943,-3.822732751,-3.752975386,-3.870367959,-3.744777353,-3.802141027
talB,-3.464520908,-3.505980337,-3.463859097,-3.49199582,-3.48170427,-3.480550447
gapA,-3.229161927,-3.208162133,-3.319889558,-3.473211247,-3.597011125,-3.551736573
glpG,-3.727282087,-3.628367804,-3.629575366,-3.656754005,-3.831913331,-3.82888533
hslU,-3.766856245,-3.925721731,-3.868014268,-3.920282369,-3.8222311,-3.822123158
aldA,-3.575019307,-3.598988936,-3.586739202,-3.589863343,-3.64224084,-3.610141888
fldB,-3.517249344,-3.478161175,-3.55170184,-3.534829412,-3.765823484,-3.756157813
dinG,-3.652167363,-3.676913199,-3.655355703,-3.739712685,-3.568382053,-3.540933581
uhpT,-3.019995125,-2.934046157,-2.894820716,-2.852292451,-2.989215336,-2.996496857
b1312,-2.757597775,-2.708408642,-2.865677662,-2.717950951,-3.075825844,-3.128845224
b4130,-3.895044048,-3.770448835,-3.897938071,-3.8368968,-3.85216073,-3.883827348
trg,-3.972532273,-4.534505357,-4.200080308,-4.501734934,-4.044972117,-4.017473118
mopA,-3.418081356,-3.416076112,-3.363736458,-3.456101722,-3.391637502,-3.302306041
narU,-3.933535251,-3.942418327,-3.886099181,-3.892001894,-3.792947602,-3.823426782
hybD,-2.955363355,-2.839568316,-2.870354803,-2.933017622,-3.258378045,-3.251577563
umuC,-3.912098807,-3.866370735,-3.883225785,-3.939724127,-3.816037451,-3.833504274
bglF,-4.17168458,-4.009424517,-3.997750842,-4.022276659,-4.036292115,-4.072236797
b1452,-3.849462219,-3.792688061,-3.650713017,-3.776433394,-4.01325353,-4.016050743
yjfF,-4.412107755,-4.43154189,-4.333099624,-4.417334213,-4.187350873,-4.214909931
marB,-4.858117386,-5.055298254,-4.771664589,-4.940998247,-4.666936581,-4.726690139
kgtP,-3.915157888,-3.965481795,-3.959970504,-4.04391631,-3.811575384,-4.085196775
kdgT,-3.721540923,-3.713920427,-3.661953365,-3.632410257,-3.519124661,-3.534897516
b2074,-3.892011811,-3.856897049,-3.896823416,-3.822138769,-3.899094832,-3.915425631
